Player,PA,R_prod,WAR/pos,dWAR,oWAR,WPA,BtRuns,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
VladimirGuerreroJr,514,106.0,1.5,-0.7,2.3,0.431,5.0,2019,20,TOR,AL,123,464,52,126,26,2,15,69,46,0,91,2,0,2,17,0,1,0.272,0.33899999999999997,0.433,0.772,*5D/H
JocPederson,514,121.0,3.2,-0.1,2.6,1.7269999999999999,17.0,2019,27,LAD,NL,149,450,83,112,16,3,36,74,50,2,111,12,0,2,4,1,1,0.249,0.33899999999999997,0.5379999999999999,0.8759999999999999,*79H3/8D
JasonKipnis,511,100.0,0.7,-0.1,1.1,-0.862,-11.0,2019,32,CLE,AL,121,458,52,112,23,1,17,65,40,2,88,2,5,6,7,7,2,0.245,0.304,0.41,0.715,*4/D
DannySantana,511,134.0,2.0,-0.6,2.4,1.072,7.0,2019,28,TEX,AL,130,474,81,134,23,6,28,81,25,2,151,6,0,5,8,21,6,0.28300000000000003,0.324,0.534,0.857,38479H/65D
LukeVoit,510,113.0,1.4,-1.8,2.4,1.6369999999999998,18.0,2019,28,NYY,AL,118,429,72,113,21,1,21,62,71,2,142,9,0,1,12,0,0,0.263,0.37799999999999995,0.46399999999999997,0.8420000000000001,*3D/H
RyanBraun,508,123.0,1.7,-0.9,2.1,1.5090000000000001,11.0,2019,35,MIL,NL,144,459,70,131,31,2,22,75,34,1,105,8,0,3,15,11,1,0.285,0.34299999999999997,0.505,0.8490000000000001,*7H/D9
EvanLongoria,508,108.0,2.5,0.8,2.0,1.71,2.0,2019,33,SFG,NL,129,453,59,115,19,2,20,69,43,1,112,7,0,5,14,3,1,0.254,0.325,0.43700000000000006,0.762,*5H
DomingoSantana,507,111.0,0.5,-1.9,1.9,0.061,6.0,2019,26,SEA,AL,121,451,63,114,20,1,21,69,50,1,164,2,0,2,11,8,3,0.253,0.32899999999999996,0.441,0.77,79D/H
EloyJimenez,504,117.0,1.5,-1.4,2.4,-0.024,10.0,2019,22,CHW,AL,122,468,69,125,18,2,31,79,30,0,134,4,0,2,11,0,0,0.267,0.315,0.513,0.828,*7/D
ColinMoran,503,113.0,-1.1,-2.0,1.1,-0.843,-1.0,2019,26,PIT,NL,149,466,46,129,30,1,13,80,30,4,117,3,0,4,13,0,1,0.27699999999999997,0.322,0.429,0.7509999999999999,*5H4/37
ScottKingery,500,100.0,2.8,1.0,2.1,-0.61,-1.0,2019,25,PHI,NL,126,458,64,118,34,4,19,55,34,1,147,5,1,2,3,15,4,0.258,0.315,0.474,0.7879999999999999,*85674/H9
JustinSmoak,500,93.0,0.3,-1.3,0.8,1.337,2.0,2019,32,TOR,AL,121,414,54,86,16,0,22,61,79,3,106,6,0,1,11,0,0,0.20800000000000002,0.342,0.406,0.748,*3D/H
CJCron,499,104.0,1.7,0.0,1.1,-1.966,1.0,2019,29,MIN,AL,125,458,51,116,24,0,25,78,29,3,107,10,0,2,13,0,0,0.253,0.311,0.469,0.78,*3/HD
ToddFrazier,499,109.0,1.8,-0.2,2.3,-0.248,4.0,2019,33,NYM,NL,133,447,63,112,19,2,21,67,40,1,106,12,0,0,9,1,2,0.251,0.32899999999999996,0.44299999999999995,0.772,*5H/3D
MarkCanha,497,112.0,4.3,-0.5,4.6,1.268,30.0,2019,30,OAK,AL,126,410,80,112,16,3,26,58,67,1,107,18,0,2,10,3,2,0.273,0.396,0.517,0.9129999999999999,89D3H7
HunterRenfroe,494,95.0,2.7,1.6,0.5,0.03,0.0,2019,27,SDP,NL,140,440,64,95,19,1,33,64,46,1,154,2,0,6,6,5,0,0.21600000000000003,0.289,0.489,0.778,*97H/8
MattCarpenter,492,90.0,1.2,0.6,0.9,-0.13,-4.0,2019,33,STL,NL,129,416,59,94,20,2,15,46,63,0,129,7,1,5,3,6,1,0.226,0.33399999999999996,0.392,0.726,*5H/3D
JoePanik,491,84.0,-0.6,-0.5,0.2,-0.139,-14.0,2019,28,TOT,NL,142,438,50,107,21,2,5,39,43,2,47,4,2,4,6,4,2,0.244,0.315,0.336,0.6509999999999999,*4H
WilMyers,490,93.0,-0.4,-1.4,0.7,-2.351,-3.0,2019,28,SDP,NL,155,435,58,104,22,1,18,53,51,0,168,2,1,1,12,16,7,0.239,0.321,0.418,0.7390000000000001,*78H/395
JiManChoi,487,98.0,2.0,-0.6,2.0,1.219,14.0,2019,28,TBR,AL,127,410,54,107,20,2,19,63,64,2,108,6,0,7,7,2,3,0.261,0.363,0.45899999999999996,0.8220000000000001,*3HD
EdwinEncarnacion,486,133.0,2.9,-0.6,2.8,2.556,20.0,2019,36,TOT,AL,109,418,81,102,18,0,34,86,58,1,103,7,0,3,4,0,1,0.244,0.344,0.531,0.875,*3D/H4
IanDesmond,482,109.0,-1.8,-2.2,0.4,-0.662,-10.0,2019,33,COL,NL,140,443,64,113,31,4,20,65,34,1,119,2,1,2,12,3,3,0.255,0.31,0.479,0.7879999999999999,*87H/D1
BrianDozier,482,84.0,0.7,-0.3,1.3,-0.517,-3.0,2019,32,WSN,NL,135,416,54,99,20,0,20,50,61,2,105,4,0,1,11,3,4,0.23800000000000002,0.34,0.43,0.7709999999999999,*4H/1
RobbieGrossman,482,89.0,1.0,0.0,0.6,-0.609,-6.0,2019,29,OAK,AL,138,420,57,101,21,3,6,38,59,2,86,1,0,2,7,9,4,0.24,0.33399999999999996,0.348,0.682,*7H9/8
OscarMercado,482,109.0,2.5,1.0,1.6,-0.633,-3.0,2019,24,CLE,AL,115,438,70,118,25,3,15,54,28,0,84,5,7,4,9,15,4,0.26899999999999996,0.318,0.44299999999999995,0.7609999999999999,*87/9HD
OmarNarvaez,482,96.0,2.3,-0.3,3.1,0.7809999999999999,13.0,2019,27,SEA,AL,132,428,63,119,12,0,22,55,47,1,92,4,0,3,5,0,0,0.278,0.353,0.46,0.813,*2DH/4
RamonLaureano,481,122.0,3.6,0.1,3.8,2.0380000000000003,19.0,2019,24,OAK,AL,123,434,79,125,29,0,24,67,27,0,123,11,1,8,7,13,2,0.28800000000000003,0.34,0.521,0.86,*89/H
KevinKiermaier,480,101.0,2.4,1.7,1.0,-0.873,-15.0,2019,29,TBR,AL,129,447,60,102,20,7,14,55,26,2,104,5,1,1,8,19,5,0.228,0.278,0.39799999999999996,0.6759999999999999,*8/HD
DanielMurphy,478,121.0,0.3,-0.4,0.1,0.19399999999999998,-9.0,2019,34,COL,NL,132,438,56,122,35,1,13,78,32,1,74,2,0,4,10,1,1,0.27899999999999997,0.32799999999999996,0.452,0.78,*3H/D4
JamesMcCann,476,104.0,3.7,1.3,3.0,-0.19699999999999998,5.0,2019,29,CHW,AL,118,439,62,120,26,1,18,60,30,1,137,6,1,0,10,4,1,0.273,0.32799999999999996,0.46,0.789,*2D/H
GiovannyUrshela,476,126.0,3.9,0.5,3.7,2.325,22.0,2019,27,NYY,AL,132,442,73,139,34,0,21,74,25,1,87,5,0,4,13,1,1,0.314,0.355,0.534,0.889,*5H/D37
NikoGoodrum,472,94.0,1.6,-0.2,1.9,-1.537,-4.0,2019,27,DET,AL,112,423,61,105,27,5,12,45,46,1,138,1,0,2,7,12,3,0.248,0.322,0.42100000000000004,0.743,6473/89DH5
NickMarkakis,469,114.0,1.0,-0.8,1.3,0.255,0.0,2019,35,ATL,NL,116,414,61,118,25,2,9,62,47,1,59,2,0,6,11,2,0,0.285,0.35600000000000004,0.42,0.7759999999999999,*9/7HD
NomarMazara,469,116.0,0.7,-0.7,1.0,0.131,-3.0,2019,24,TEX,AL,116,429,69,115,27,1,19,66,28,2,108,6,0,6,5,4,1,0.268,0.318,0.469,0.7859999999999999,*9/HD
JorgeAlfaro,465,83.0,1.3,0.3,1.7,-1.787,-4.0,2019,26,MIA,NL,130,431,44,113,14,1,18,57,22,1,154,10,0,2,12,4,4,0.262,0.312,0.425,0.736,*2H/3D
TeoscarHernandez,464,97.0,1.2,-0.7,1.9,-0.8370000000000001,2.0,2019,26,TOR,AL,125,417,58,96,19,2,26,65,45,1,153,1,0,1,8,6,3,0.23,0.306,0.47200000000000003,0.778,*87H/D
JonathanSchoop,464,97.0,1.6,0.4,1.5,-1.334,0.0,2019,27,MIN,AL,121,433,61,111,23,1,23,59,20,1,116,10,0,1,13,1,1,0.256,0.304,0.473,0.777,*4/HD
MarwinGonzalez,463,92.0,1.8,0.9,0.7,0.9540000000000001,-4.0,2019,30,MIN,AL,114,425,52,112,19,0,15,55,31,2,98,6,0,1,7,1,0,0.264,0.322,0.414,0.736,9537/HD46
EnriqueHernandez,460,104.0,2.2,1.6,0.8,-0.927,-8.0,2019,27,LAD,NL,130,414,57,98,19,1,17,64,36,3,97,6,0,4,9,4,0,0.237,0.304,0.41100000000000003,0.715,*4H8967/35
EricThames,459,103.0,1.6,-0.7,1.6,2.217,10.0,2019,32,MIL,NL,149,396,67,98,23,2,25,61,51,4,140,10,0,2,0,3,2,0.247,0.34600000000000003,0.505,0.851,*3H9/D
BrianGoodwin,458,95.0,2.2,-0.1,2.1,0.276,6.0,2019,28,LAA,AL,136,413,65,108,29,3,17,47,38,2,129,3,1,3,3,7,3,0.262,0.326,0.47,0.7959999999999999,*78H9/D
JDDavis,453,100.0,1.0,-2.4,3.1,2.3209999999999997,23.0,2019,26,NYM,NL,140,410,65,126,22,1,22,57,38,2,97,3,0,2,14,3,0,0.307,0.369,0.527,0.895,*7H5/D
JarrodDyson,452,85.0,1.4,1.4,0.1,-0.777,-21.0,2019,34,ARI,NL,130,400,65,92,11,2,7,27,47,0,86,2,1,2,1,30,4,0.23,0.313,0.32,0.633,*89H7
YadierMolina,452,92.0,1.3,0.8,1.2,-0.46399999999999997,-9.0,2019,36,STL,NL,113,419,45,113,24,0,10,57,23,0,58,5,0,5,14,6,0,0.27,0.312,0.39899999999999997,0.711,*2/3H5
RobertoPerez,449,85.0,4.0,2.7,2.1,1.0659999999999998,-2.0,2019,30,CLE,AL,119,389,46,93,9,1,24,63,45,1,127,4,7,4,12,0,0,0.239,0.321,0.452,0.774,*2/D
BrandonDrury,447,69.0,-1.2,-1.0,-0.1,-0.978,-19.0,2019,26,TOR,AL,120,418,43,91,21,1,15,41,25,0,113,1,0,3,6,0,1,0.218,0.262,0.38,0.642,*5943/76HD
AaronJudge,447,103.0,5.5,1.7,3.4,2.784,25.0,2019,27,NYY,AL,102,378,75,103,18,1,27,55,64,4,141,3,0,1,11,3,2,0.272,0.381,0.54,0.9209999999999999,*9D/H
RaimelTapia,447,89.0,-0.8,-0.8,-0.3,-1.389,-19.0,2019,25,COL,NL,138,426,54,117,23,5,9,44,21,0,100,0,0,0,2,9,3,0.275,0.309,0.415,0.7240000000000001,*7H8/9D
HaroldRamirez,446,93.0,0.3,-0.9,0.9,1.148,-5.0,2019,24,MIA,NL,119,421,54,116,20,3,11,50,18,1,91,5,0,1,8,2,1,0.276,0.312,0.41600000000000004,0.728,*798H
GarySanchez,446,105.0,3.1,0.7,2.9,-0.359,10.0,2019,26,NYY,AL,106,396,62,92,12,1,34,77,40,3,125,9,0,1,3,0,1,0.23199999999999998,0.316,0.525,0.841,*2D/H
BusterPosey,445,74.0,0.9,1.0,0.6,-1.375,-8.0,2019,32,SFG,NL,114,405,43,104,24,0,7,38,34,1,71,4,1,1,18,0,0,0.257,0.32,0.368,0.688,*2H/3D
AdalbertoMondesi,443,111.0,2.4,1.4,1.5,-0.616,-10.0,2019,23,KCR,AL,102,415,58,109,20,10,9,62,19,0,132,0,3,6,6,43,7,0.263,0.29100000000000004,0.424,0.715,*6/DH
KyleSeager,443,95.0,2.8,0.6,2.4,0.39399999999999996,7.0,2019,31,SEA,AL,106,393,55,94,19,1,23,63,44,0,86,4,0,2,12,2,2,0.239,0.321,0.46799999999999997,0.789,*5/HD
EricSogard,442,86.0,2.6,-0.1,2.8,0.594,10.0,2019,33,TOT,AL,110,396,59,115,23,2,13,40,38,2,63,2,3,3,4,8,0,0.29,0.353,0.457,0.81,*4DH/9567
ManuelMargot,441,84.0,1.8,0.7,1.3,-0.9470000000000001,-10.0,2019,24,SDP,NL,151,398,59,93,19,3,12,37,38,1,88,2,3,0,6,20,4,0.23399999999999999,0.304,0.387,0.691,*8H
MiguelSano,439,121.0,3.0,-0.5,3.6,1.022,21.0,2019,26,MIN,AL,105,380,76,94,19,2,34,79,55,0,159,3,0,1,5,0,1,0.247,0.34600000000000003,0.5760000000000001,0.9229999999999999,*5/3DH
RobinsonChirinos,437,98.0,3.8,1.7,2.8,-0.757,5.0,2019,35,HOU,AL,114,366,57,87,22,1,17,58,51,1,125,13,2,5,11,1,2,0.23800000000000002,0.34700000000000003,0.44299999999999995,0.79,*2/H
CavanBiggio,430,98.0,2.9,-0.1,3.1,1.8030000000000002,9.0,2019,24,TOR,AL,100,354,66,83,17,2,16,48,71,0,123,2,0,2,0,14,0,0.23399999999999999,0.364,0.429,0.7929999999999999,*4/39DH7
MaikelFranco,428,87.0,-0.6,-0.1,-0.3,0.321,-12.0,2019,26,PHI,NL,123,389,48,91,17,0,17,56,36,19,61,0,0,3,14,0,0,0.23399999999999999,0.297,0.409,0.705,*5H/3
ShoheiOhtani,425,95.0,2.5,-0.7,2.4,0.373,12.0,2019,24,LAA,AL,106,384,51,110,20,5,18,62,33,1,110,2,0,4,6,12,3,0.28600000000000003,0.34299999999999997,0.505,0.848,*DH
AndreltonSimmons,424,80.0,1.9,1.8,0.7,-1.569,-12.0,2019,29,LAA,AL,103,398,47,105,19,0,7,40,24,1,37,2,0,0,21,10,2,0.264,0.309,0.364,0.6729999999999999,*6/HD
JakeBauers,423,77.0,-0.7,-0.8,-0.5,-1.815,-12.0,2019,23,CLE,AL,117,372,46,84,16,1,12,43,45,0,115,3,0,3,3,3,3,0.226,0.312,0.371,0.6829999999999999,7D3/H
RobinsonCano,423,72.0,0.3,-0.5,1.0,-0.8490000000000001,-1.0,2019,36,NYM,NL,107,390,46,100,28,0,13,39,25,3,69,5,0,3,16,0,0,0.256,0.307,0.428,0.736,*4/HD
DavidPeralta,423,93.0,1.9,0.6,1.0,1.123,4.0,2019,31,ARI,NL,99,382,48,105,29,3,12,57,35,3,87,5,0,1,9,0,0,0.275,0.34299999999999997,0.461,0.804,*7/HD
GarrettCooper,421,87.0,1.6,-0.3,1.4,0.444,6.0,2019,28,MIA,NL,107,381,52,107,16,1,15,50,33,0,110,5,0,2,10,0,0,0.281,0.344,0.446,0.7909999999999999,*39/HD
DeeGordon,421,67.0,0.8,-0.1,1.2,-0.268,-10.0,2019,31,SEA,AL,117,393,36,108,12,6,3,34,18,1,61,1,3,6,8,22,5,0.275,0.304,0.359,0.6629999999999999,*4/HD6
BrandonDixon,420,78.0,-0.4,-1.1,0.2,-0.469,-8.0,2019,27,DET,AL,117,391,41,97,20,4,15,52,21,0,136,4,0,4,5,5,1,0.248,0.29,0.435,0.725,*37DH/95418
ChristinStewart,416,62.0,-0.3,-0.5,-0.2,-0.187,-9.0,2019,25,DET,AL,104,369,32,86,25,1,10,40,34,3,103,7,0,6,4,0,1,0.233,0.305,0.38799999999999996,0.693,*7D/H
NickSenzel,414,85.0,0.6,0.0,0.8,-0.6859999999999999,-7.0,2019,24,CIN,NL,104,375,55,96,20,4,12,42,30,0,101,3,0,1,6,14,5,0.256,0.315,0.42700000000000005,0.742,*8H/4
ChrisTaylor,414,92.0,1.7,-0.2,1.9,0.691,5.0,2019,28,LAD,NL,124,366,52,96,29,4,12,52,37,3,115,4,2,5,6,8,0,0.262,0.33299999999999996,0.462,0.794,76H84/59
DavidDahl,413,113.0,0.4,-1.4,1.6,0.271,6.0,2019,25,COL,NL,100,374,67,113,28,5,15,61,28,0,110,4,2,5,3,4,4,0.302,0.353,0.524,0.877,879/H
RioRuiz,413,69.0,-0.2,-0.3,0.3,1.382,-11.0,2019,25,BAL,AL,127,370,35,86,13,2,12,46,40,0,88,0,1,2,12,0,1,0.23199999999999998,0.306,0.376,0.682,*5H3/D4
TonyWolters,411,83.0,1.5,2.1,0.1,-0.18,-19.0,2019,27,COL,NL,121,359,42,94,17,2,1,42,36,5,68,8,2,6,9,0,1,0.262,0.337,0.32899999999999996,0.6659999999999999,*2/H45
MikeYastrzemski,411,98.0,2.8,0.2,2.1,0.33799999999999997,12.0,2019,28,SFG,NL,107,371,64,101,22,3,21,55,32,1,107,4,1,3,4,2,4,0.272,0.33399999999999996,0.518,0.852,*7*9H/8
WillsonContreras,409,97.0,3.1,0.7,3.0,-0.215,13.0,2019,27,CHC,NL,105,360,57,98,18,2,24,64,38,2,102,9,0,2,4,1,2,0.272,0.355,0.5329999999999999,0.888,*2/H397D
RowdyTellez,409,82.0,0.0,-0.8,0.1,-1.224,-3.0,2019,24,TOR,AL,111,370,49,84,19,0,21,54,29,3,116,7,0,3,9,1,1,0.22699999999999998,0.293,0.449,0.742,*3DH
DelinoDeShields,408,70.0,1.5,1.2,0.7,-0.203,-16.0,2019,26,TEX,AL,118,357,42,89,15,4,4,32,38,0,100,3,8,2,8,24,6,0.249,0.325,0.34700000000000003,0.672,*8H/D
HarrisonBader,406,81.0,2.1,1.5,0.8,0.161,-11.0,2019,25,STL,NL,128,347,54,71,14,3,12,39,46,4,117,10,1,2,3,11,3,0.205,0.314,0.366,0.68,*8H
LuisRengifo,406,70.0,1.2,0.4,1.2,-0.654,-8.0,2019,22,LAA,AL,108,357,44,85,18,3,7,33,40,0,93,5,1,3,6,2,5,0.23800000000000002,0.321,0.364,0.685,*46/H
AnthonySantander,405,85.0,1.4,-0.2,1.3,-0.484,0.0,2019,24,BAL,AL,93,380,46,99,20,1,20,59,19,0,86,2,1,3,1,1,2,0.261,0.297,0.47600000000000003,0.773,*978/DH
JosePeraza,403,64.0,-0.9,0.4,-1.0,-2.084,-22.0,2019,25,CIN,NL,141,376,37,90,18,2,6,33,17,0,58,8,0,2,9,7,6,0.239,0.285,0.34600000000000003,0.631,*467H/851
NickyLopez,402,72.0,0.1,0.6,-0.1,-2.505,-23.0,2019,24,KCR,AL,103,379,44,91,22,2,2,30,18,0,51,1,4,0,5,1,1,0.24,0.276,0.325,0.601,*46/HD
MelkyCabrera,397,83.0,-1.3,-2.0,0.3,-0.331,-7.0,2019,34,PIT,NL,133,378,43,106,22,1,7,47,17,3,41,1,1,0,14,2,0,0.28,0.313,0.39899999999999997,0.713,*9H7/D
JPCrawford,396,82.0,1.1,0.1,1.5,-0.006,-5.0,2019,24,SEA,AL,93,345,43,78,21,4,7,46,43,0,83,2,3,3,4,5,3,0.226,0.313,0.371,0.684,*6
StephenPiscotty,393,77.0,0.8,-0.1,0.6,-0.966,-3.0,2019,28,OAK,AL,93,357,46,89,17,1,13,44,29,0,84,3,1,3,13,2,0,0.249,0.309,0.41200000000000003,0.72,*9/DH
DwightSmithJr,392,86.0,-0.8,-1.3,0.2,-1.536,-8.0,2019,26,BAL,AL,101,357,46,86,16,3,13,53,26,0,82,4,1,4,8,5,1,0.24100000000000002,0.297,0.41200000000000003,0.708,*7H/D
Travisd'Arnaud,391,105.0,0.9,-0.2,1.5,0.51,-1.0,2019,30,TOT,ML,103,351,52,88,16,0,16,69,32,0,85,2,0,6,4,0,1,0.251,0.312,0.433,0.745,*23H/D
JeimerCandelario,386,57.0,0.5,0.4,0.2,-1.6269999999999998,-15.0,2019,25,DET,AL,94,335,33,68,17,2,8,32,43,1,99,7,0,1,3,3,1,0.203,0.306,0.337,0.643,*53/HD
DannyJansen,384,71.0,1.1,1.4,0.3,-1.025,-15.0,2019,24,TOR,AL,107,347,41,72,12,1,13,43,31,1,79,4,1,1,8,0,1,0.207,0.27899999999999997,0.36,0.64,*2/DH
JesseWinker,384,73.0,0.7,-0.8,1.2,-0.039,6.0,2019,25,CIN,NL,113,338,51,91,17,2,16,38,38,2,60,8,0,0,10,0,2,0.26899999999999996,0.35700000000000004,0.473,0.83,*7H89/D
MichaelChavis,382,86.0,0.6,-0.3,0.8,-0.126,-3.0,2019,23,BOS,AL,95,347,46,88,10,1,18,58,31,2,127,4,0,0,11,2,1,0.254,0.322,0.444,0.7659999999999999,*34/H5D
NeilWalker,381,67.0,0.6,-0.6,0.8,-0.48700000000000004,0.0,2019,33,MIA,NL,115,337,37,88,19,1,8,38,42,1,77,1,0,1,8,3,0,0.261,0.344,0.395,0.738,*3H5/D4
AlexVerdugo,377,75.0,3.2,1.3,1.9,-0.006,8.0,2019,23,LAD,NL,106,343,43,101,22,2,12,44,26,1,49,2,0,6,8,4,1,0.294,0.342,0.475,0.8170000000000001,*897H
MartinMaldonado,374,61.0,1.3,1.4,0.5,-1.526,-12.0,2019,32,TOT,ML,105,333,46,71,19,0,12,27,32,1,86,6,2,1,11,0,0,0.213,0.293,0.37799999999999995,0.6709999999999999,*2/H3
JoseMartinez,373,77.0,-0.4,-1.5,0.8,0.111,-1.0,2019,30,STL,NL,128,334,45,90,13,2,10,42,35,0,82,2,0,2,14,3,0,0.26899999999999996,0.34,0.41,0.7509999999999999,*9H/D7
GregGarcia,372,79.0,0.9,-0.2,1.3,1.014,-1.0,2019,29,SDP,NL,134,311,52,77,13,4,4,31,53,1,83,5,1,2,4,0,2,0.248,0.364,0.354,0.718,*4H5/637D
FernandoTatisJr,372,92.0,4.1,0.1,4.5,2.025,25.0,2019,20,SDP,NL,84,334,61,106,13,6,22,53,30,1,110,5,0,3,4,16,6,0.317,0.379,0.59,0.9690000000000001,*6/H
HowieKendrick,370,106.0,2.5,-0.7,3.0,2.106,22.0,2019,35,WSN,NL,121,334,61,115,23,1,17,62,27,1,49,4,0,5,11,2,1,0.344,0.395,0.5720000000000001,0.966,3H45/D
RyanO'Hearn,370,56.0,-1.5,-0.8,-1.2,-1.228,-15.0,2019,25,KCR,AL,105,328,32,64,13,1,14,38,39,1,99,1,0,2,7,0,1,0.195,0.281,0.369,0.65,*3H/7D
ChadPinder,370,79.0,1.4,0.7,0.6,-1.421,-5.0,2019,27,OAK,AL,124,341,45,82,21,0,13,47,20,0,88,5,1,3,11,0,1,0.24,0.29,0.41600000000000004,0.706,79H45/86D3
JesusAguilar,369,77.0,-0.2,-0.4,-0.3,-0.512,-5.0,2019,29,TOT,ML,131,314,39,74,12,0,12,50,43,0,81,2,0,7,12,0,0,0.23600000000000002,0.325,0.389,0.7140000000000001,*3HD/5
YordanAlvarez,369,109.0,3.7,-0.5,3.6,0.902,35.0,2019,22,HOU,AL,87,313,58,98,26,0,27,78,52,4,94,2,0,2,9,0,0,0.313,0.41200000000000003,0.655,1.067,*D7/H
HaroldCastro,369,63.0,-0.4,-0.8,0.4,-0.8140000000000001,-11.0,2019,25,DET,AL,97,354,30,103,10,4,5,38,9,0,86,0,2,4,6,4,2,0.29100000000000004,0.305,0.384,0.6890000000000001,485/7H9D63
LoganForsythe,367,70.0,-0.2,-0.3,0.1,-1.9780000000000002,-13.0,2019,32,TEX,AL,101,317,38,72,17,1,7,39,44,0,100,3,0,2,8,2,0,0.22699999999999998,0.325,0.353,0.6779999999999999,356H/4
LuisArraez,366,78.0,1.8,-0.6,2.5,1.6569999999999998,13.0,2019,22,MIN,AL,92,326,54,109,20,1,4,28,36,1,29,1,0,3,2,2,2,0.33399999999999996,0.39899999999999997,0.439,0.838,*475/6HD
CarsonKelly,365,75.0,1.7,0.4,1.9,0.81,6.0,2019,24,ARI,NL,111,314,46,77,19,0,18,47,48,10,79,2,0,1,11,0,0,0.245,0.348,0.478,0.826,*2H/5
TuckerBarnhart,364,61.0,0.6,0.7,0.5,-1.271,-8.0,2019,28,CIN,NL,114,316,32,73,14,0,11,40,44,7,83,2,1,1,5,1,0,0.231,0.32799999999999996,0.38,0.708,*2H/3
AlbertAlmoraJr,363,61.0,-1.0,-0.4,-0.4,-1.785,-19.0,2019,25,CHC,NL,130,339,41,80,11,1,12,32,16,4,62,1,5,2,8,2,1,0.23600000000000002,0.271,0.381,0.6509999999999999,*8H
CurtisGranderson,363,66.0,-0.6,-0.4,-0.5,-1.511,-14.0,2019,38,MIA,NL,138,317,44,58,17,1,12,34,41,1,98,3,0,2,3,0,3,0.183,0.281,0.35600000000000004,0.637,*7H/9D
SteveWilkerson,361,66.0,-0.8,-0.7,0.0,-2.184,-12.0,2019,27,BAL,AL,117,329,41,74,18,2,10,35,22,0,108,7,1,2,5,3,3,0.225,0.28600000000000003,0.38299999999999995,0.669,*87H49/1D
MitchGarver,359,106.0,4.1,0.6,4.0,1.01,25.0,2019,28,MIN,AL,93,311,70,85,16,1,31,67,41,0,87,5,0,2,5,0,0,0.273,0.365,0.63,0.995,*2H/D3
YanGomes,358,67.0,1.3,1.4,0.5,-0.48100000000000004,-11.0,2019,31,WSN,NL,97,314,36,70,16,0,12,43,38,6,84,5,0,1,7,2,0,0.223,0.316,0.389,0.7040000000000001,*2/H3
DavidBote,356,77.0,1.6,0.2,1.7,0.0,3.0,2019,26,CHC,NL,127,303,47,78,17,0,11,41,44,4,93,7,0,2,11,5,1,0.257,0.36200000000000004,0.42200000000000004,0.785,*54H/69
BenGamel,356,73.0,0.6,-0.1,0.3,0.721,-6.0,2019,27,MIL,NL,134,311,47,77,18,0,7,33,40,2,104,3,0,2,0,2,2,0.248,0.337,0.373,0.71,*7H98
BillyHamilton,353,56.0,0.4,1.1,-0.4,-1.244,-23.0,2019,28,TOT,ML,119,316,41,69,14,2,0,15,32,1,87,0,3,2,1,22,6,0.218,0.289,0.275,0.564,*8H/D
ChrisDavis,352,50.0,-1.2,-0.6,-1.0,-0.634,-18.0,2019,33,BAL,AL,105,307,26,55,9,0,12,36,39,1,139,3,0,3,6,0,0,0.179,0.276,0.326,0.601,*3H/D91
TommyEdman,349,84.0,3.9,1.2,2.9,2.6319999999999997,8.0,2019,24,STL,NL,92,326,59,99,17,7,11,36,16,0,61,7,0,0,3,15,1,0.304,0.35,0.5,0.85,*54H9/78
KestonHiura,348,81.0,2.0,-0.4,2.7,1.189,18.0,2019,22,MIL,NL,84,314,51,95,23,2,19,49,25,1,107,8,0,1,6,9,3,0.303,0.368,0.57,0.938,*4/H
AustinHedges,347,53.0,-0.7,0.8,-0.9,-1.672,-24.0,2019,26,SDP,NL,102,312,28,55,9,0,11,36,27,3,109,5,2,1,3,1,0,0.17600000000000002,0.252,0.311,0.563,*2/H5
YandyDiaz,346,77.0,1.4,-0.4,1.7,-0.745,8.0,2019,27,TBR,AL,79,307,53,82,20,1,14,38,35,1,61,1,0,4,9,2,2,0.267,0.34,0.47600000000000003,0.816,*53D/H
DidiGregorius,344,92.0,0.3,-0.5,1.2,0.433,-7.0,2019,29,NYY,AL,82,324,47,77,14,2,16,61,17,1,53,1,0,2,5,2,1,0.23800000000000002,0.276,0.441,0.718,*6/HD
LourdesGurrielJr,343,82.0,1.7,-0.5,1.9,-0.48700000000000004,12.0,2019,25,TOR,AL,84,314,52,87,19,2,20,50,20,0,86,5,1,3,4,6,4,0.27699999999999997,0.327,0.541,0.8690000000000001,*7/4D3H
JoshPhegley,342,94.0,0.3,-0.2,1.1,-0.75,-6.0,2019,31,OAK,AL,106,314,44,75,18,0,12,62,15,0,63,6,2,5,11,0,1,0.239,0.282,0.41100000000000003,0.693,*2/H
AJPollock,342,81.0,0.2,-1.0,1.3,0.435,4.0,2019,31,LAD,NL,86,308,49,82,15,1,15,47,23,1,74,7,0,4,7,5,1,0.266,0.327,0.46799999999999997,0.795,*87/HD
PedroSeverino,341,68.0,1.0,0.2,1.4,-0.909,-2.0,2019,25,BAL,AL,96,305,37,76,13,0,13,44,29,0,73,4,1,2,5,3,1,0.249,0.321,0.42,0.74,*2/HD
